Date,Url,Text,Impresiones,Interacciones,Ampliaciones de detalles,Visitas del perfil,Clics en enlaces,Reacciones ,Reposteos,Comentarios,Reproducciones únicas,Reproducciones,Engagement_Rate,VINCULO_DE_NEGOCIO,PILAR,Tema
12/06/2025,https://x.com/Coppel/status/1933327532776173711,"Presentamos la evolución de nuestra identidad visual: una llave más versátil y contemporánea que refleja lo que somos hoy… siempre con la cercanía y confianza que nos caracterizan. 

#GrupoCoppel #TúEresLaLlave",2072,286,159,28,0,35,8,25,585,682,13.8,IMPULSAR AL TALENTO,MARCA EMPLEADORA,PROPUESTA DE VALOR
13/06/2025,https://x.com/Coppel/status/1933585164031926383,"En Grupo Coppel destinaremos $80 mmdp en 5 años para fortalecer nuestra transformación integral.
Impulsamos la expansión física, la digitalización y la sostenibilidad, con un solo propósito: mejorar la vida de las personas. 
Conoce más: https://cppl.io/aztotj
#TúEresLaLlave",1377,208,26,15,6,9,1,6,0,0,15.11,VISIBILIZAR OFERTA DE VALOR,OMNICANALIDAD,CATEGORÍAS COMERCIALES Y FINANCIERAS
16/06/2025,https://x.com/Coppel/status/1934666891228008535,"Como parte del lanzamiento de nuestra nueva imagen, nos reunimos con medios y líderes de la comunidad creativa para compartir la evolución de Grupo Coppel.

Una marca más ágil, cercana y conectada con las personas.
Gracias a quienes fueron parte de este momento.

#TúEresLaLlave",1383,148,28,17,0,8,1,7,0,0,10.7,CONTRIBUIR Y REDUCIR RIESGOS,COMUNIDAD,SOSTENIBILIDAD Y ASG
17/06/2025,https://x.com/Coppel/status/1935028505567252895,"Gracias 
@Milenio
 por estar presente en nuestra conferencia de prensa. 

#TúEresLaLlave",1087,15,7,2,0,4,1,0,0,0,1.38,IMPULSAR AL TALENTO,MARCA EMPLEADORA,PROPUESTA DE VALOR
18/06/2025,https://x.com/Coppel/status/1935384339707216146,"Gracias 
@heraldodemexico
 por ser parte del anuncio de esta evolución.

#TúEresLaLlave",1489,42,20,4,0,8,2,8,0,0,2.82,CONTRIBUIR Y REDUCIR RIESGOS,COMUNIDAD,SOSTENIBILIDAD Y ASG
23/06/2025,https://x.com/Coppel/status/1937224549797658817,Nuestro CEO Agustín Coppel platicó con El País en el marco del cambio de imagen y el anuncio de inversión de 80 mil mdp como parte nuestro plan de transformación para los próximos 5 años,1003,33,17,0,0,8,0,6,0,0,3.29,VISIBILIZAR OFERTA DE VALOR,OMNICANALIDAD,CATEGORÍAS COMERCIALES Y FINANCIERAS
27/06/2025,https://x.com/Coppel/status/1938681551467978849,"Directivas de áreas estratégicas en la evolución de Grupo Coppel comparten por qué nuestra nueva imagen representa un cambio más profundo de cara al cliente.
#TuEresLaLllave",1021,62,30,7,0,8,3,10,209,279,6.07,CONTRIBUIR Y REDUCIR RIESGOS,COMUNIDAD,SOSTENIBILIDAD Y ASG
03/07/2025,https://x.com/Coppel/status/1940878307907850737,"Nuestro Director Comercial, Diego Coppel, comparte por qué la nueva imagen representa una transformación integral, donde los clientes son los protagonistas y tienen el poder de decidir y ser parte de la evolución de Grupo Coppel. #TúEresLaLlave",771000,40,17,6,0,6,1,5,208,245,0.01,CONTRIBUIR Y REDUCIR RIESGOS,COMUNIDAD,SOSTENIBILIDAD Y ASG
04/07/2025,https://x.com/Coppel/status/1941208549016891508,"🏅Grupo Coppel ocupa el primer lugar en el Índice de Integridad Corporativa 500, del ranking “Las 500 empresas contra la corrupción” de 
@ExpansionMx
. Un reconocimiento a nuestras políticas de integridad, transparencia y buenas prácticas.
#OrgulloCoppel #Expansión500",962000,49,14,9,0,10,1,4,0,0,0.01,VISIBILIZAR OFERTA DE VALOR,OMNICANALIDAD,CATEGORÍAS COMERCIALES Y FINANCIERAS
08/07/2025,https://x.com/Coppel/status/1942665696141553780,"#GrupoCoppel y 
@fonart_mx
 llevan 14 años promoviendo el arte mexicano. En 2024, Coppel adquirió 20 mil piezas de Jalisco, Guerrero y Oaxaca, que se exhibieron en tiendas y se obsequiaron a clientes. ¡Un orgullo impulsar lo #HechoEnMéxico! 🇲🇽

Más info: https://cppl.io/gwh98I",662000,23,5,5,2,4,0,1,0,0,0.0,VISIBILIZAR OFERTA DE VALOR,OMNICANALIDAD,CATEGORÍAS COMERCIALES Y FINANCIERAS
14/07/2025,https://x.com/Coppel/status/1944763128085893134,"#GrupoCoppel anuncia su nueva estructura de liderazgo: Diego Coppel Sullivan asume la Dirección General y Agustín Coppel Luken permanece como Presidente del Consejo🟡🟡🟡
Conoce más: https://cppl.io/SZWnwk",3215,458,0,45,23,24,11,3,0,0,14.25,IMPULSAR AL TALENTO,MARCA EMPLEADORA,DESARROLLO PROFESIONAL
16/07/2025,https://x.com/Coppel/status/1945517603918688347,"#GrupoCoppel trabaja cada día para ser un motor de inclusión financiera y social, y seguir mejorando la vida de las personas con productos y servicios de calidad.
En 2025, seguimos comprometidos con ser un buen vecino y estar donde nuestros clientes nos necesitan.
#ImpactoSocial",625000,8,0,3,0,3,0,1,134,173,0.0,VISIBILIZAR OFERTA DE VALOR,OMNICANALIDAD,CATEGORÍAS COMERCIALES Y FINANCIERAS
18/07/2025,https://x.com/Coppel/status/1946250061450453309,"#GrupoCoppel anuncia nueva estructura directiva para impulsar su modelo de gobernanza y su visión de largo plazo.
Diego Coppel Sullivan asume la Dirección General, mientras que Agustín Coppel Luken continúa como Presidente del Consejo de Administración.

#GobernanzaCorporativa",499000,8,0,4,0,1,0,1,0,0,0.0,IMPULSAR AL TALENTO,MARCA EMPLEADORA,PROPUESTA DE VALOR
23/07/2025,https://x.com/Coppel/status/1948133520229949817,"Facilitamos el acceso al financiamiento y a un transporte eficiente. En 2025, Coppel tendrá 100 nuevas agencias especializadas.

¡Queremos seguir impulsando la movilidad de millones de mexicanos con Coppel Motos! 🏍️

#MovilidadAccesible",632000,13,0,2,0,2,0,1,0,0,0.0,CONTRIBUIR Y REDUCIR RIESGOS,COMUNIDAD,SOSTENIBILIDAD Y ASG
25/07/2025,https://x.com/Coppel/status/1948835648216899887,"Celebramos que, gracias al apoyo de Fundación Coppel y Fundación México en Harvard, Aracely Guzmán iniciará sus estudios en Harvard para impulsar un sistema de salud más justo y equitativo en México.
🎓Su compromiso nos inspira.
#OrgulloCoppel #EducaciónQueTransforma",224000,8,0,4,0,1,0,1,0,0,0.0,CONTRIBUIR Y REDUCIR RIESGOS,COMUNIDAD,FUNDACIÓN COPPEL
30/07/2025,https://x.com/Coppel/status/1950662727195889702,"En los próximos 5 años, Grupo Coppel destinará recursos para su #Evolución. La transformación incluye una nueva plataforma de e-commerce y tecnología para impulsar la inclusión financiera de más de 3 millones de personas. 
¡Seguimos creciendo con nuestros clientes! 🤝",88000,4,2,1,0,0,0,0,0,0,0.0,VISIBILIZAR OFERTA DE VALOR,OMNICANALIDAD,CATEGORÍAS COMERCIALES Y FINANCIERAS
